location_id;location_name;locality;sensor_id;parameter;value;datetime
"2163352";"""Oscadnica""";"Oscadnica";"7775186";"so2";"1.32787";"2025-04-09T08:00:00+02:00"
"2899";"AT10003";"Burgenland";"4275562";"no";"0.32160001";"2024-01-29T19:00:00+01:00"
"2899";"AT10003";"Burgenland";"6152";"no2";"22.28535079";"2024-01-29T19:00:00+01:00"
"2899";"AT10003";"Burgenland";"6146";"o3";"45.794";"2024-01-29T19:00:00+01:00"
"2899";"AT10003";"Burgenland";"6142";"pm10";"18.81744956";"2024-01-29T19:00:00+01:00"
"2899";"AT10003";"Burgenland";"6117";"so2";"7.51229953";"2024-01-29T19:00:00+01:00"
"2905";"Hainburg";"";"6158";"no2";"17";"2016-12-12T10:00:00+01:00"
"2905";"Hainburg";"";"6157";"o3";"39";"2016-12-12T10:00:00+01:00"
"2905";"Hainburg";"";"6145";"pm10";"7";"2016-12-12T10:00:00+01:00"
"2905";"Hainburg";"";"6144";"so2";"1";"2016-12-12T10:00:00+01:00"
"4516";"NET.03";"Amt der Niederösterreichischen Landesregierung";"5079171";"no";"3.11787486";"2024-03-04T11:00:00+01:00"
"4516";"NET.03";"Amt der Niederösterreichischen Landesregierung";"5078486";"no2";"7.45793056";"2024-03-04T11:00:00+01:00"
"4516";"NET.03";"Amt der Niederösterreichischen Landesregierung";"5078677";"o3";"63.455";"2024-03-04T11:00:00+01:00"
"4516";"NET.03";"Amt der Niederösterreichischen Landesregierung";"5078666";"pm10";"11";"2024-03-04T11:00:00+01:00"
"4516";"NET.03";"Amt der Niederösterreichischen Landesregierung";"5078848";"pm25";"12.30000019";"2024-01-29T19:00:00+01:00"
"4516";"NET.03";"Amt der Niederösterreichischen Landesregierung";"5078544";"so2";"3.64999985";"2024-03-04T11:00:00+01:00"
"5186";"SK0001A";"Bratislavský kraj";"13431";"no2";"12.9829";"2024-01-29T19:00:00+01:00"
"5186";"SK0001A";"Bratislavský kraj";"13430";"o3";"10.937";"2024-01-29T20:00:00+01:00"
"5186";"SK0001A";"Bratislavský kraj";"13429";"pm10";"23.833";"2024-01-29T20:00:00+01:00"
"5186";"SK0001A";"Bratislavský kraj";"13426";"pm25";"20.499";"2024-01-29T20:00:00+01:00"
"5186";"SK0001A";"Bratislavský kraj";"13387";"so2";"3.02016";"2024-01-29T20:00:00+01:00"
"5198";"""Bratislava - Kamenne nam.""";"Bratislava - mestska cast Stare Mesto";"13417";"pm10";"13.028";"2025-04-09T08:00:00+02:00"
"5198";"""Bratislava - Kamenne nam.""";"Bratislava - mestska cast Stare Mesto";"13416";"pm25";"10.441";"2025-04-09T08:00:00+02:00"
"5199";"SK0002A";"Bratislavský kraj";"13422";"co";"499.844";"2024-01-29T20:00:00+01:00"
"5199";"SK0002A";"Bratislavský kraj";"13421";"no2";"62.5128";"2024-01-29T20:00:00+01:00"
"5199";"SK0002A";"Bratislavský kraj";"13418";"pm10";"33.542";"2024-01-29T20:00:00+01:00"
"5199";"SK0002A";"Bratislavský kraj";"22698";"pm25";"20.032";"2024-01-29T20:00:00+01:00"
"5215";"SK0048A";"Bratislavský kraj";"13489";"no2";"20.7108";"2024-01-29T20:00:00+01:00"
"5215";"SK0048A";"Bratislavský kraj";"13488";"o3";"40.388";"2024-01-29T20:00:00+01:00"
"5215";"SK0048A";"Bratislavský kraj";"13487";"pm10";"25.745";"2024-01-29T20:00:00+01:00"
"5215";"SK0048A";"Bratislavský kraj";"13486";"pm25";"18.573";"2024-01-29T20:00:00+01:00"
"5215";"SK0048A";"Bratislavský kraj";"29078";"so2";"7.87121";"2024-01-29T20:00:00+01:00"
"2162037";"Kittsee";"2421 Kittsee";"7775992";"no";"1.28434991";"2024-03-11T13:00:00+01:00"
"2162037";"Kittsee";"2421 Kittsee";"7772830";"no2";"11.0912809";"2025-04-09T08:00:00+02:00"
"2162037";"Kittsee";"2421 Kittsee";"7775482";"o3";"35.559";"2025-04-09T08:00:00+02:00"
"2162037";"Kittsee";"2421 Kittsee";"7775146";"pm10";"9.085";"2025-04-09T08:00:00+02:00"
"2162037";"Kittsee";"2421 Kittsee";"7774272";"so2";"17.1209145";"2025-04-09T08:00:00+02:00"
